day,sec,name,value
1,82938,0,783.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,0,782.00
1,82938,1,776.00
1,82938,0,783.00
1,83539,add,536871428
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,1,777.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,782.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,0,782.00
1,83539,0,782.00
1,83539,1,777.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,add,536871556
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,782.00
1,83539,0,782.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,1,776.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,0,783.00
1,83539,1,776.00
1,83539,0,783.00
1,84140,add,536871428
1,84140,1,776.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,0,783.00
1,84140,1,777.00
1,84140,1,776.00
1,84140,1,776.00
1,84140,0,783.00
1,84140,1,776.00
1,84140,add,536871556
1,84140,1,776.00
